Mã nhóm mẹ,Phân loại,Phân nhóm
152,Vật tư xây dựng,Khác
01,Chỉ may,Nguyên liệu phụ
05,Linh tinh,Khác
07,Hoá chất,Khác
09,Phụ tùng,Vật tư phụ tùng
153,Linh tinh,Khác
52,Linh tinh,Khác
BANIN,Bản in,Nguyên liệu phụ
BANINPOLIME,Bản in,Nguyên liệu phụ
DG,Đóng gói,Nguyên liệu phụ
HAT_HDPE_LDPE,Hạt HDPE + LDPE,Nguyên liệu chính
HAT_PP,Hạt PP,Nguyên liệu chính
HAT_TPP,Hạt TPP,Nguyên liệu chính
HATMAU,Hạt màu,Nguyên liệu phụ
HATTAICAL,Hạt Taical,Nguyên liệu chính
JUBO,Jumbo,Nguyên liệu phụ
MDM,Mực in + dung môi,Nguyên liệu phụ
OGIAY,Ống giấy,Nguyên liệu phụ
ONGNHUA,Ống nhựa,Nguyên liệu phụ
PHUGIA,Hạt phụ gia,Nguyên liệu phụ
SUI,Hạt nhựa ó,Nguyên liệu tái chế
TAY,Hạt phụ gia,Nguyên liệu phụ
THUNGCARTON,Thùng giấy,Nguyên liệu phụ
VPP,Văn phòng phẩm,Khác
WEB,Dây đai jumbo,Nguyên liệu chính
MAY,Bao,Nguyên liệu chính
154,Thành phẩm,Khác
211,Phụ tùng,Vật tư phụ tùng
632,Chi phí,Chi phí
BAO,Bán thành phẩm,Bán thành phẩm
CUONTRANG,Bán thành phẩm,Bán thành phẩm
GAP,Bán thành phẩm,Bán thành phẩm
HATHH,Linh tinh,Khác
HH,Linh tinh,Khác
IN,Bán thành phẩm,Bán thành phẩm
KD,Bán thành phẩm,Bán thành phẩm
LOB,Bán thành phẩm,Bán thành phẩm
MANH,Bán thành phẩm,Bán thành phẩm
PHE,Phế liệu,Khác
THA,Bán thành phẩm,Bán thành phẩm
TPH-1551,Bán thành phẩm,Bán thành phẩm
TPH-1552,Bán thành phẩm,Bán thành phẩm
TPH-1553,Bán thành phẩm,Bán thành phẩm
TPH-1554,Bán thành phẩm,Bán thành phẩm
TPH-1558,Bán thành phẩm,Bán thành phẩm
Z,Chi phí,Chi phí
